Product ID,Product Name,Category,Sub-Category,Total_Sales,Transaction_Count,Avg_Sale,Total_Profit,Avg_Profit,Total_Quantity,Avg_Discount,Profit_Margin,Sales_per_Transaction,Cumulative_Sales,Cumulative_Percentage,ABC_Class,CoV,XYZ_Class,ABC_XYZ_Matrix
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,2.72,5,0.54,3.88,0.78,1.15,0.14,142.6470588235294,0.544,2.72,0.48977239988475935,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Technology,Phones,1.33,10,0.13,4.76,0.48,3.23,0.1,357.8947368421052,0.133,4.050000000000001,0.7292566983578219,A - High Value,0.0,X - Stable Demand,AX
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,1.21,10,0.12,4.92,0.49,1.62,0.28,406.61157024793386,0.121,5.260000000000001,0.9471333909536155,A - High Value,0.0,X - Stable Demand,AX
TEC-MA-10002412,Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,1.0,1,1.0,0.32,0.32,0.38,0.59,32.0,1.0,6.260000000000001,1.127196773264189,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10004823,"Nokia Smart Phone, Full Size",Technology,Phones,0.98,11,0.09,5.38,0.49,2.15,0.09,548.9795918367347,0.0890909090909091,7.24,1.3036588879285504,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,0.97,8,0.12,3.52,0.44,2.38,0.24,362.88659793814435,0.12125,8.21,1.4783203687698068,A - High Value,0.0,X - Stable Demand,AX
FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs,0.94,12,0.08,5.37,0.45,2.92,0.12,571.2765957446809,0.07833333333333332,9.15,1.6475799481417457,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10004512,"Hoover Stove, Red",Office Supplies,Appliances,0.93,7,0.13,3.77,0.54,2.38,0.05,405.3763440860215,0.13285714285714287,10.08,1.8150388936905786,A - High Value,0.0,X - Stable Demand,AX
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,0.88,11,0.08,4.99,0.45,2.0,0.35,567.0454545454546,0.08,10.96,1.9734946701238834,A - High Value,0.0,X - Stable Demand,AX
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,0.84,9,0.09,4.01,0.45,3.0,0.61,477.38095238095235,0.09333333333333332,11.8,2.1247479112647647,A - High Value,0.0,X - Stable Demand,AX
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,0.83,8,0.1,3.99,0.5,2.31,0.24,480.7228915662651,0.10375,12.63,2.2742005185825405,A - High Value,0.0,X - Stable Demand,AX
TEC-PH-10001457,"Apple Smart Phone, Full Size",Technology,Phones,0.83,8,0.1,3.63,0.45,1.69,0.04,437.3493975903615,0.10375,13.46,2.4236531259003167,A - High Value,0.0,X - Stable Demand,AX
OFF-AP-10002330,"Hamilton Beach Stove, Silver",Office Supplies,Appliances,0.81,7,0.12,3.44,0.49,2.38,0.2,424.6913580246913,0.11571428571428573,14.270000000000001,2.569504465571881,A - High Value,0.0,X - Stable Demand,AX
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,0.81,3,0.27,1.59,0.53,0.69,0.2,196.2962962962963,0.27,15.080000000000002,2.7153558052434454,A - High Value,0.0,X - Stable Demand,AX
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,0.79,6,0.13,2.51,0.42,1.62,0.53,317.7215189873417,0.13166666666666668,15.870000000000001,2.857605877268798,A - High Value,0.0,X - Stable Demand,AX
FUR-BO-10004679,"Safco Library with Doors, Pine",Furniture,Bookcases,0.77,8,0.1,3.55,0.44,3.15,0.09,461.038961038961,0.09625,16.64,2.9962546816479394,A - High Value,0.0,X - Stable Demand,AX
